127.0.0.1 - - [09/Mar/2022:10:22:54 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:22:55 -0300] "GET /web-ucp-psg/LoginTUNEADO.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:30:37 -0300] "POST /web-ucp-psg/loginS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:30:38 -0300] "GET /web-ucp-psg/HomeTuneada.jsp HTTP/1.1" 200 22011
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:31:12 -0300] "GET /web-ucp-psg/AltaIntegranteTuneado.jsp HTTP/1.1" 200 8473
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:31:12 -0300] "GET /web-ucp-psg/dist/css/entrarsalir.css HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:31:12 -0300] "GET /assets/images/logo-light-icon.png HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:00 -0300] "GET /web-ucp-psg/AltaIntegranteTuneado.jsp HTTP/1.1" 200 8613
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:00 -0300] "GET /web-ucp-psg/dist/css/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:00 -0300] "GET /web-ucp-psg/dist/css/entrarsalir.css HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:00 -0300] "GET /assets/images/logo-light-icon.png HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:00 -0300] "GET /web-ucp-psg/assets/images/logo-light-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:10:41:01 -0300] "GET /web-ucp-psg/dist/css/icons/font-awesome/css/fontawesome-all.css HTTP/1.1" 304 -
